At
1577
1496
1545
1399
1135
1429
1704
1748
1585
1453
2227
2205
2048
1985
1508
1596
1299
1652
1958
1199
1688
2209
1630
2165
1473
1926
1876
1661
1781
1559
1663
2330
1194
1850
2710
3141
2556
942
1949
1706
1783
1857
1948
2242
1934
1886
3595
2335
1617
1465
1932
1708
2945
1499
1674
1982
1692
2695
2646
2207
1398
2405
2156
1842
1928
1732
2370
2322
1428
2091
2834
2413
960
2593
2306
1880
1926
1976
1986
2549
1526
2417
3464
2357
1535
1919
2811
212
1803
2758
2526
2547
2097
3860
3165
2217
3209
2754
3331
4151
2420
2540
3420
3615
2835
5094
2716
2360
2562
3441
1528
