Date,Close
02/01/2008,0
03/01/2008,0
04/01/2008,0
05/01/2008,0
06/01/2008,0
07/01/2008,0
08/01/2008,0
09/01/2008,0
10/01/2008,0
11/01/2008,0
12/01/2008,0
13/01/2008,1
14/01/2008,2
15/01/2008,2
16/01/2008,2
17/01/2008,2
18/01/2008,2
19/01/2008,2
20/01/2008,2
21/01/2008,3
22/01/2008,2
23/01/2008,1
24/01/2008,1
25/01/2008,1
26/01/2008,1
27/01/2008,1
28/01/2008,1
29/01/2008,1
30/01/2008,0
31/01/2008,0
01/02/2008,0
02/02/2008,0
03/02/2008,1
04/02/2008,1
05/02/2008,1
06/02/2008,1
07/02/2008,2
08/02/2008,2
09/02/2008,2
10/02/2008,2
11/02/2008,2
12/02/2008,1
13/02/2008,1
14/02/2008,1
15/02/2008,1
16/02/2008,0
17/02/2008,1
18/02/2008,1
19/02/2008,1
20/02/2008,1
21/02/2008,1
22/02/2008,1
23/02/2008,1
24/02/2008,2
25/02/2008,2
26/02/2008,1
27/02/2008,1
28/02/2008,1
29/02/2008,1
01/03/2008,1
02/03/2008,1
03/03/2008,1
04/03/2008,0
05/03/2008,0
06/03/2008,0
07/03/2008,0
08/03/2008,0
09/03/2008,0
10/03/2008,0
11/03/2008,0
12/03/2008,1
13/03/2008,1
14/03/2008,1
15/03/2008,1
16/03/2008,1
17/03/2008,1
18/03/2008,1
19/03/2008,1
20/03/2008,1
21/03/2008,0
22/03/2008,1
23/03/2008,1
24/03/2008,1
25/03/2008,1
26/03/2008,2
27/03/2008,2
28/03/2008,3
29/03/2008,3
30/03/2008,3
31/03/2008,2
01/04/2008,2
02/04/2008,2
03/04/2008,2
04/04/2008,1
05/04/2008,1
06/04/2008,0
07/04/2008,0
08/04/2008,0
09/04/2008,0
10/04/2008,0
11/04/2008,0
12/04/2008,0
13/04/2008,0
14/04/2008,0
15/04/2008,0
16/04/2008,0
17/04/2008,0
18/04/2008,1
19/04/2008,1
20/04/2008,1
21/04/2008,1
22/04/2008,1
23/04/2008,1
24/04/2008,1
25/04/2008,1
26/04/2008,1
27/04/2008,0
28/04/2008,0
29/04/2008,0
30/04/2008,0
01/05/2008,0
02/05/2008,0
03/05/2008,0
04/05/2008,0
05/05/2008,0
06/05/2008,0
07/05/2008,0
08/05/2008,0
09/05/2008,0
10/05/2008,0
11/05/2008,0
12/05/2008,0
13/05/2008,0
14/05/2008,0
15/05/2008,0
16/05/2008,0
17/05/2008,0
18/05/2008,1
19/05/2008,1
20/05/2008,2
21/05/2008,2
22/05/2008,2
23/05/2008,2
24/05/2008,2
25/05/2008,2
26/05/2008,2
27/05/2008,1
28/05/2008,1
29/05/2008,0
30/05/2008,0
31/05/2008,0
01/06/2008,0
02/06/2008,0
03/06/2008,0
04/06/2008,0
05/06/2008,0
06/06/2008,0
07/06/2008,0
08/06/2008,0
09/06/2008,1
10/06/2008,1
11/06/2008,1
12/06/2008,2
13/06/2008,2
14/06/2008,2
15/06/2008,2
16/06/2008,2
17/06/2008,3
18/06/2008,2
19/06/2008,2
20/06/2008,2
21/06/2008,1
22/06/2008,1
23/06/2008,1
24/06/2008,1
